var	UA.0	UA.1	MI.0	MI.1	PCI.0	PCI.1	TX.0	CA.0	CA.1
(Intercept)	-5.8585451461389	-5.67489599890695	-4.61148875932603	-3.21749302474386	-1.9433710306218	-1.49892051897453	-16.9377510427006	3.13356931036157	3.04210591964774
BETA.AGE	0.0793916792127529	0.0835279928464991	0.0716552630250837	0.0672488145224079	0.0572636069477169	0.0549209674696148	0.0730675529754784	0.0619660408443234	0.0599584890541671
BETA.WOM	0.114691211793577	0.0693214904371956	-0.015586788189955	0.0272679450621437	0.0234399530975906	0.0176373988825784	0.176476493132604	0.0503714039532115	0.0630308143789326
BETA.HTN	-0.163217585444657	-0.10827989404288	-0.136212968869517	-0.130706998554666	-0.107246668975263	-0.133182643142625	0.113095866961623	-0.0644693507096819	-0.0895716817713262
BETA.DIAB	0.780986680137314	0.835731471228223	0.380318474132124	0.333680034877723	0.593231518632893	0.559770646660399	0.484091272859694	0.527960202918941	0.477833073872875
BETA.CVHIST	0	-0.600167749252377	0	0.148076624833633	0	0.138612022607004	0	0	0.16475561160729
BETA.CATHLAB	0.20316809391163	0.260868508782323	-0.0248639885235043	0.0709220556925716	0.43425019995243	0.615287055514689	0.0625163733842308	0.573904728378972	0.500551040262331
BETA.CORSURG	-0.156128886685662	-0.0892066822344495	-0.0578426078201542	-0.0528607816931008	-0.102503254724239	-0.144094026208194	0.0886672679400306	0.0440215418016604	0.0322643152436775
BETA.UNIVERSI	-0.121764356150474	-0.0911864505830234	0.227852908765162	0.0881502041525357	0.18183195483091	0.0416961598359524	0.188946686291224	0.176682192956308	0.0480307003518989
BETA.GROSS	-0.018619670472336	-0.0310271311536266	-0.0172597141542012	-0.00246518214960712	0.0151151796116442	0.0151268513134222	-0.0320174974264032	0.00889890604273087	0.00867413876716137
BETA.LIFEEXP	-0.0488385611605225	-0.0471165905359133	-0.0354371449379129	-0.0558551887455956	-0.0853385291455934	-0.0892556336855081	0.108694705885198	-0.147875109025651	-0.145262373601309
BETA.CVMORT	-0.00214108744430421	-0.00206292628501133	-0.000677315238653494	7.66055937771525e-05	0.00107999382061167	0.00128369559831361	0.00353615850310735	-0.00191685042992113	-0.001274502103671
se.(Intercept)	16.4961128847835	17.5894181293657	6.9504164621547	4.22184527815841	9.03075249138844	9.44301417820397	10.3541799977864	8.76441136127488	8.0818410322207
