id,Sexe,Perfil,Districte de residŠncia,Edat,satisfacinf,nivellqualitat,aspectmillora,nivellalumnat,sisteducatiu,iniciativapubresultats,instrprovesexternes
1,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,1,1,1,2,1,1,2
2,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Menys de 35 anys,,1,1,3,2,1,2
3,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,3,2,1,2,2
4,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,3,1,3,3,4,1,2
5,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,3,3,3,1,3
6,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,2,2,2,1,2
7,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,4,3,3,3,4,1
8,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,2,2,2,2,2,2
9,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,M‚s de 55 anys,,3,3,2,3,3,3
10,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres municipis,Entre 35 i 55 anys,,2,2,2,1,1,3
11,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,3,3,3,3,3,3
12,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Gr…cia,Entre 35 i 55 anys,,3,3,3,2,2,3
13,Home,Mare o pare ÿd?alumne en edat d?escolaritzaci¢ obligat•ria,Altres districtes de Barcelona,Entre 35 i 55 anys,,4,4,4,4,4,1
